Office,Taluk,District,State,Pincode
A F Station Yelahanka,Bangalore North,Bangalore,KARNATAKA,560063
Adugodi,Bangalore South,Bangalore,KARNATAKA,560030
Agara,Bangalore South,Bangalore,KARNATAKA,560034
Agram,Bangalore South,Bangalore,KARNATAKA,560007
Air Force Hospital,Bangalore North,Bangalore,KARNATAKA,560007
Amruthahalli,Bangalore North,Bangalore,KARNATAKA,560092
Anandnagar Bangalore,Bangalore North,Bangalore,KARNATAKA,560024
Anekal,Anekal,Bangalore,KARNATAKA,562106
Anjanapura,Bangalore,Bangalore,KARNATAKA,560108
Arabic College,Bangalore North,Bangalore,KARNATAKA,560045
Ashoknagar Bangalore,Bangalore South,Bangalore,KARNATAKA,560050
Attibele,Anekal,Bangalore,KARNATAKA,562107
Attur,Bangalore North,Bangalore,KARNATAKA,560064
Austin Town,Bangalore North,Bangalore,KARNATAKA,560047
Avathi,Devanahalli,Bangalore,KARNATAKA,562164
B Sk II Stage,Bangalore South,Bangalore,KARNATAKA,560070
BSF Campus Yelahanka,Bangalore North,Bangalore,KARNATAKA,560063
Bagalgunte,Bangalore North,Bangalore,KARNATAKA,560073
Bagalur Bangalore,Banglorenorth,Bangalore,KARNATAKA,562149
Banashankari III Stage,Bangalore South,Bangalore,KARNATAKA,560085
Banashankari,Bangalore South,Bangalore,KARNATAKA,560050
Banaswadi,Bangalore North,Bangalore,KARNATAKA,560043
Bandikodigehalli,Bgnorth,Bangalore,KARNATAKA,562149
Bangalore Bazaar,Bangalore North,Bangalore,KARNATAKA,560001
Bangalore City,Bangalore North,Bangalore,KARNATAKA,560002
Bangalore Corporation Building,Bangalore South,Bangalore,KARNATAKA,560002
Bangalore Dist Offices Bldg,Bangalore North,Bangalore,KARNATAKA,560009
Bangalore G P O,Bangalore North,Bangalore,KARNATAKA,560001
Bangalore International Airport,,Bangalore,KARNATAKA,560300
Bangalore Sub Foreign Post,,Bangalore,KARNATAKA,560025
Bannerghatta Road,Bangalore South,Bangalore,KARNATAKA,560076
Bannerghatta,Bangalore South,Bangalore,KARNATAKA,560083
Bapagrama,Bangalore North,Bangalore,KARNATAKA,560091
Basavanagudi,Bangalore South,Bangalore,KARNATAKA,560004
Basaveshwaranagar,Bangalore North,Bangalore,KARNATAKA,560079
Begur,Bangalore South,Bangalore,KARNATAKA,560068
Bellandur,Bangalore South,Bangalore,KARNATAKA,560103
Benson Town,Bangalore North,Bangalore,KARNATAKA,560046
Bestamaranahalli,Anekal,Bangalore,KARNATAKA,562106
Bettahalsur,Bangalore North,Bangalore,KARNATAKA,562157
Bhattarahalli,Bangalore North,Bangalore,KARNATAKA,560049
Bidaraguppe,Anekal,Bangalore,KARNATAKA,562107
Bidrahalli,Bangalore South,Bangalore,KARNATAKA,560049
Bnagalore Viswavidalaya,Bangalore South,Bangalore,KARNATAKA,560056
Bolare,Bangalore South,Bangalore,KARNATAKA,560082
Bommanahalli Bangalore,Bangalore South,Bangalore,KARNATAKA,560068
Bommasandra Industrial Estate,Bangalore South,Bangalore,KARNATAKA,560099
Byagadadenahalli,Anekal,Bangalore,KARNATAKA,562106
Byatarayanapura,Bangalore North,Bangalore,KARNATAKA,560092
C V Raman Nagar,Bangalore North,Bangalore,KARNATAKA,560093
CMM Court Complex,Bangalore,Bangalore,KARNATAKA,560001
CMP Centre And School,Bangalore North,Bangalore,KARNATAKA,560025
CRPF Campus Yelahanka,Bangalore North,Bangalore,KARNATAKA,560064
Carmelram,Bangalore South,Bangalore,KARNATAKA,560035
Chamarajasagara,Magadi,Bangalore,KARNATAKA,562120
Chamrajpet Bangalore,Bangalore South,Bangalore,KARNATAKA,560018
Chandapura,Bangalore,Bangalore,KARNATAKA,560081
Chandapura,Bangalore South,Bangalore,KARNATAKA,560099
Chandra Lay Out,Bangalore North,Bangalore,KARNATAKA,560040
Chickpet,Bangalore South,Bangalore,KARNATAKA,560053
Chikkabidarkal,Bangalore North,Bangalore,KARNATAKA,560073
Chikkajala,Bg North,Bangalore,KARNATAKA,562157
Chikkalasandra,Bangalore South,Bangalore,KARNATAKA,560061
Chikkanahalli,Bgsouth,Bangalore,KARNATAKA,562130
Chudenapura,Bangalore South,Bangalore,KARNATAKA,560060
Chunchanakuppe,Bg South,Bangalore,KARNATAKA,562130
Dasanapura,Bangalore North,Bangalore,KARNATAKA,562162
Dasarahalli Srinagar,Bangalore South,Bangalore,KARNATAKA,560050
Deepanjalinagar,Bangalore South,Bangalore,KARNATAKA,560026
Devanagundi,Bangalore South,Bangalore,KARNATAKA,560067
Devasandra,Bangalore North,Bangalore,KARNATAKA,560036
Dharmaram College,Bangalore South,Bangalore,KARNATAKA,560029
Doddagubbi,Bangalore North,Bangalore,KARNATAKA,560077
Doddajala,Bg North,Bangalore,KARNATAKA,562157
Doddakallasandra,Bangalore South,Bangalore,KARNATAKA,560062
Doddanekkundi,Bangalore North,Bangalore,KARNATAKA,560037
Domlur,Bangalore North,Bangalore,KARNATAKA,560071
Dommasandra,Anekal,Bangalore,KARNATAKA,562125
Doorvaninagar,Bangalore North,Bangalore,KARNATAKA,560016
Dr Ambedkar Veedhi,Bangalore North,Bangalore,KARNATAKA,560001
Dr Shivarama Karanth Nagar,Bangalore North,Bangalore,KARNATAKA,560077
EPIP,Bangalore,Bangalore,KARNATAKA,560066
Electronics City,Bangalore South,Bangalore,KARNATAKA,560100
Fraser Town,Bangalore North,Bangalore,KARNATAKA,560005
G K V K,Bangalore North,Bangalore,KARNATAKA,560065
Gaviopuram Extension,Bangalore South,Bangalore,KARNATAKA,560019
Gayathrinagar,Bangalore North,Bangalore,KARNATAKA,560021
Girinagar Bangalore,Bangalore South,Bangalore,KARNATAKA,560085
Gottigere,Bangalore South,Bangalore,KARNATAKA,560083
Governmemnt Electric Factory,Bangalore South,Bangalore,KARNATAKA,560026
Guddanahalli,Anekal,Bangalore,KARNATAKA,562106
Gunjur,Bangalore North,Bangalore,KARNATAKA,560087
H A Farm,Bangalore North,Bangalore,KARNATAKA,560024
H A L II Stage,Bangalore North,Bangalore,KARNATAKA,560008
H K P Road,Bangalore North,Bangalore,KARNATAKA,560051
HSR Layout,Bangalore South,Bangalore,KARNATAKA,560102
Hampinagar,Bangalore North,Bangalore,KARNATAKA,560104
Handenahalli,Anekal,Bangalore,KARNATAKA,562125
Haragadde,Anekal,Bangalore,KARNATAKA,560105
Hebbal Kempapura,Bangalore North,Bangalore,KARNATAKA,560024
Hennagara,Anekal,Bangalore,KARNATAKA,560105
Herohalli,Bangalore north,Bangalore,KARNATAKA,560091
HighCourt,Bangalore North,Bangalore,KARNATAKA,560001
Hoodi,Bangalore North,Bangalore,KARNATAKA,560048
Horamavu,Bangalore North,Bangalore,KARNATAKA,560043
Hulimangala,Anekal,Bangalore,KARNATAKA,560105
Hulimavu,Bangalore,Bangalore,KARNATAKA,560076
Hulsur Bazaar,Bangalore North,Bangalore,KARNATAKA,560008
Hunasamaranahalli,Bg North,Bangalore,KARNATAKA,562157
ISRO Anthariksha Bhavan,Bangalore North,Bangalore,KARNATAKA,560094
Indalavadi,Anekal,Bangalore,KARNATAKA,562106
Indiranagar Bangalore,Bangalore North,Bangalore,KARNATAKA,560038
Industrial Estate Bangalore,Bangalore North,Bangalore,KARNATAKA,560010
J C Nagar,Bangalore North,Bangalore,KARNATAKA,560006
J P Nagar,Bangalore South,Bangalore,KARNATAKA,560078
JP Nagar III Phase,Bangalore South,Bangalore,KARNATAKA,560078
JP Nagar VIII phase,Bangalore South,Bangalore,KARNATAKA,560076
Jakkur,Bangalore North,Bangalore,KARNATAKA,560064
Jalahalli East,Bangalore North,Bangalore,KARNATAKA,560014
Jalahalli West,Bangalore North,Bangalore,KARNATAKA,560015
Jalahalli,Bangalore North,Bangalore,KARNATAKA,560013
Jalavayuvihar,Bangalore North,Bangalore,KARNATAKA,560043
Jayamahal Road,,Bangalore,KARNATAKA,560046
Jayanagar West,Bangalore South,Bangalore,KARNATAKA,560070
Jayanagar,Bangalore South,Bangalore,KARNATAKA,560041
Jayangar III Block,Bangalore South,Bangalore,KARNATAKA,560011
Jeevanbhimanagar,Bangalore North,Bangalore,KARNATAKA,560075
Jigani,Anekal,Bangalore,KARNATAKA,560105
K G Road,Bangalore North,Bangalore,KARNATAKA,560009
K H B Colony,Bangalore North,Bangalore,KARNATAKA,560079
Kadabagere,Nla & Bgsouth,Bangalore,KARNATAKA,562130
Kadugodi Extention SO,Banglore,Bangalore,KARNATAKA,560067
Kadugodi,Bangalore South,Bangalore,KARNATAKA,560067
Kallubalu,Anekal,Bangalore,KARNATAKA,560105
Kalyananagar,Bangalore North,Bangalore,KARNATAKA,560043
Kamakshipalya,Bangalore North,Bangalore,KARNATAKA,560079
Kannamangala,Bangalore South,Bangalore,KARNATAKA,560067
Kannur,Bg North,Bangalore,KARNATAKA,562149
Kathriguppe,Bangalore South,Bangalore,KARNATAKA,560085
Kodigehalli,Bangalore North,Bangalore,KARNATAKA,560092
Kodigehalli,Bangalore,Bangalore,KARNATAKA,560112
Konanakunte,Bangalore,Bangalore,KARNATAKA,560062
Koramangala I Block,Bangalore South,Bangalore,KARNATAKA,560034
Koramangala VI Bk,Bangalore South,Bangalore,KARNATAKA,560095
Koramangala,Bangalore South,Bangalore,KARNATAKA,560034
Kothanur,Bangalore North,Bangalore,KARNATAKA,560077
Krishnarajapuram R S,Bangalore North,Bangalore,KARNATAKA,560016
Krishnarajapuram,Bangalore North,Bangalore,KARNATAKA,560036
Kugur,Anekal,Bangalore,KARNATAKA,562125
Kumaraswamy Layout,Bangalore South,Bangalore,KARNATAKA,560078
Kumbalagodu,Bangalore South,Bangalore,KARNATAKA,560074
Kumbalgodu Gollahalli,Bangalore South,Bangalore,KARNATAKA,560074
Kundalahalli,Bangalore North,Bangalore,KARNATAKA,560037
Laggere,Bangalore North,Bangalore,KARNATAKA,560058
Legislators Home,Bangalore North,Bangalore,KARNATAKA,560001
Lingarajapuram,Bangalore North,Bangalore,KARNATAKA,560084
Madanayakanahalli,Bangalore North,Bangalore,KARNATAKA,562162
Madhavan Park,Bangalore South,Bangalore,KARNATAKA,560011
Madivala,Bangalore South,Bangalore,KARNATAKA,560068
Magadi Road,Bangalore North,Bangalore,KARNATAKA,560023
Mahadevapura,Bangalore North,Bangalore,KARNATAKA,560048
Mahalakshmipuram Layout,Bangalore North,Bangalore,KARNATAKA,560086
Mahatma Gandhi Road,Bangalore North,Bangalore,KARNATAKA,560001
Mallathahalli,Bangalore South,Bangalore,KARNATAKA,560056
Malleswaram West,Bangalore North,Bangalore,KARNATAKA,560055
Malleswaram,Bangalore North,Bangalore,KARNATAKA,560003
Marathahalli Colony,Bangalore North,Bangalore,KARNATAKA,560037
Marsur,Anekal,Bangalore,KARNATAKA,562106
Maruthi Sevanagar,Bangalore North,Bangalore,KARNATAKA,560033
Mathikere,Bangalore North,Bangalore,KARNATAKA,560054
Mavalli,Bangalore South,Bangalore,KARNATAKA,560004
Mayasandra,Anekal,Bangalore,KARNATAKA,562107
Medimallasandra,Bangalore South,Bangalore,KARNATAKA,560067
Mico Layout,Bangalore South,Bangalore,KARNATAKA,560076
Mount St Joseph,Bangalore South,Bangalore,KARNATAKA,560076
